texto,categoria
"ROUPAS R$ 120,60",Vestuário
Roupas 139.50,Vestuário
comprei advogado R$35,Outros
mensalidade Headspace,Assinaturas
reforma mensal R$ 1200,Casa
café da manhã R$ 70,Alimentação
COMPREI JARDINEIRO,Casa
moletom nova,Vestuário
plano anual Microsoft 365 R$700,Assinaturas
exame no laboratório,Saúde
loja de roupa,Vestuário
lanche da tarde R$700,Alimentação
Assinatura do box mensal,Assinaturas
"consulta com vitamina R$47,50",Saúde
COMPREI REMÉDIO PET,Outros
Headspace 139.90,Assinaturas
fui ao esporte,Lazer
happy hour no supermercado,Alimentação
FIM DE SEMANA R$ 250,Lazer
"Paguei a consulta médica 85,30",Saúde
pedágio 119.20,Transporte
renner nova 10.99,Vestuário
"comprei TV por assinatura R$69,75",Casa
concurso público 30.40,Educação
Hospital mensal,Saúde
"computador 47,50",Outros
"Assinei quadrinhos 120,90",Lazer
Plano anual illustrator,Assinaturas
"conserto do dízimo 47,70",Outros
locadora pro trabalho,Transporte
ASSINEI CURSINHO PRÉ-VESTIBULAR R$ 50,Educação
anuidade,Outros
"roupa de trabalho novo R$14,80",Vestuário
"supermercado 85,10",Alimentação
peguei trem,Transporte
Peça de roupa na outlet,Vestuário
comprei caridade,Outros
COMPREI YOGA,Saúde
borracheiro pro trabalho 120.60,Transporte
REFORMA,Casa
comprei paintball,Lazer
Assinatura do kaspersky,Assinaturas
assinei cursinho pre-vestibular R$30,Educação
supermercado,Alimentação
"ingresso do peça de teatro R$80,60",Lazer
"ROUPAS R$ 12,50",Vestuário
"abasteci 139,90",Transporte
PEDI DELIVERY NO DELIVERY,Alimentação
cobrou Apple Music 30,Assinaturas
corrida,Transporte
"anuidade Amazon Prime R$ 85,90",Assinaturas
Gasto com taxa bancária,Outros
"FIM DE SEMANA 40,30",Lazer
aula de CRC 19.99,Educação
fisioterapia,Saúde
"paguei a loçao R$ 37,99",Saúde
"gasolina R$ 5,50",Transporte
revisão do carro 40 reais,Transporte
"EXAME NO LABORATÓRIO R$ 15,80",Saúde
mensalidade YouTube Music,Assinaturas
Consulta com ressonância,Saúde
inglês,Educação
COMPREI C&A NA LOJA,Vestuário
Cobrou deezer,Assinaturas
comprei passeio de barco 89.30,Lazer
Despesa com transferência,Outros
"jantei fora R$ 85,40",Alimentação
"paguei pedreiro R$45,60",Casa
mensalidade da emergência,Saúde
Fui na ultrassom,Saúde
paguei a convênio,Saúde
academia mensal 99.20,Saúde
"curso de curso presencial R$ 17,20",Educação
"manutenção da eletrodoméstico R$ 79,99",Casa
DECORAÇÃO DO MÊS,Casa
"RECEITA MÉDICA 119,90",Saúde
curso de Wizard,Educação
"UBER BLACK DE VOLTA R$ 90,00",Transporte
transferência para natal,Outros
comprei carteira,Vestuário
Renovei onedrive 119.60,Assinaturas
AULA DE UDEMY 45.25,Educação
blusa na C&A,Vestuário
estacionamento,Transporte
"musculação mensal r$ 19,50",Saúde
"comprei calça jeans 250,00",Vestuário
"passeio R$45,10",Lazer
Estacionei 70.90,Transporte
"consulta com whey 250,00",Saúde
café da manhã,Alimentação
PAGUEI IMPOSTO DE RENDA,Outros
peguei zona azul,Transporte
"assinei hospedagem 500,00",Lazer
Remédio da farmácia,Saúde
matrícula 2500,Educação
"ingresso pro HBO Max R$ 24,80",Lazer
gasto com presente de aniversário,Outros
aluguel do apartamento mensal,Casa
"mensalidade da plano de saúde 15,60",Saúde
Loja de roupa,Vestuário
conserto do presente de natal R$8,Outros
rancho,Alimentação
karaokê com a família 35.20,Lazer
"Estacionei da semana r$ 89,90",Transporte
jantei fora 14.40,Alimentação
comprei bolsa,Vestuário
"abasteci o carro 90,00",Transporte
"PLANO MENSAL FIGMA R$ 12,25",Assinaturas
anuidade cartao para cha de bebe,Outros
boleto do desinfetante R$70,Casa
"Saída r$39,75",Lazer
"carregador imprevisto 75,40",Outros
Papelaria,Outros
etanol,Transporte
Movida de volta,Transporte
renovação Shein,Assinaturas
exposição com a família 110.70,Lazer
Curso,Educação
"comprei brigadeiro r$ 30,70",Alimentação
RANCHO,Alimentação
IPVA de volta,Transporte
camiseta na shopping,Vestuário
"PEDÁGIO R$55,20",Transporte
"Paguei a ultrassom r$15,30",Saúde
Comprei biquíni,Vestuário
IPTU imprevisto 25 reais,Outros
comprei calça,Vestuário
"assinei hotel r$ 119,99",Lazer
"paguei a proteína R$ 85,30",Saúde
"viagem para outro estado R$39,10",Lazer
advogado 49.70,Outros
"estacionamento 47,70",Transporte
"aluguel de carro 30,00",Transporte
diarista,Casa
"Nike novo r$85,50",Vestuário
Conta do vitamina r$2500,Alimentação
comprei relógio na h&m,Vestuário
Psicólogo,Saúde
pedi pizza no delivery,Alimentação
reforma,Casa
IPVA para aniversário,Outros
fui ao balada,Lazer
"TAXI PRA CASA 70,99",Transporte
PEDI CEIA NO DELIVERY,Alimentação
"matrícula R$ 69,50",Educação
Assinei concurso público 40.40,Educação
plano mensal Oi,Assinaturas
cobrou Nintendo Online,Assinaturas
"mensalidade da creatina r$50,10",Saúde
moletom na h&m,Vestuário
x-salada,Alimentação
café da manhã,Alimentação
cobrou Paramount+,Assinaturas
feira do mês,Alimentação
certificação 100.20,Educação
"emprestimo do mes R$ 140,10",Outros
"receita medica 85,20",Saúde
pedi buteco no delivery,Alimentação
"compras do mes 20,20",Alimentação
comprei iptu 85.90,Outros
entretenimento 32.75,Lazer
"fui na analises clinicas R$ 130,70",Saúde
pizzaria no mercado 70 reais,Alimentação
"academia da semana R$ 29,99",Saúde
"MENSALIDADE NORTON 139,10",Assinaturas
"PASSAGEM DE LATAM 65,20",Transporte
"pedi fruta no delivery 149,70",Alimentação
"Paguei infração 19,90",Outros
comprei relógio,Vestuário
"par de brinco R$15,80",Vestuário
gasto com advogado,Outros
lanche da tarde 14.30,Alimentação
"roupas 42,10",Vestuário
"filme com amigos r$ 15,80",Lazer
queijo no boteco,Alimentação
"UNIFORME NOVA R$120,99",Vestuário
ingresso do pousada 40 reais,Lazer
"Manutenção r$ 42,20",Casa
roupa de academia novo 900 reais,Vestuário
manutenção,Casa
"entretenimento R$ 95,60",Lazer
matricula no curso 42.70,Educação
consulta dentista,Saúde
workshop 120.75,Educação
"Paguei presente r$ 85,10",Outros
"ROUPAS R$ 130,10",Vestuário
ASSINEI MENSALIDADE ESCOLAR,Educação
Táxi pro trabalho,Transporte
"boné nova R$ 65,40",Vestuário
"fui ao viagem 35,40",Lazer
"boleto de NET R$55,40",Casa
"certificação 89,20",Educação
"CURSO DE CCAA R$95,75",Educação
renovaçao Calm,Assinaturas
ENTRETENIMENTO R$ 250,Lazer
"workshop R$65,50",Educação
"Comprei banho e tosa r$140,90",Outros
paguei a suplemento,Saúde
"fim de semana R$17,30",Lazer
mecânico de volta 2000,Transporte
loja de roupa 20.10,Vestuário
Xbox,Lazer
paguei cabo,Outros
"viagem para interior R$ 55,60",Lazer
Boné,Vestuário
Pedi drinque no delivery,Alimentação
"comprei curso online R$ 70,00",Educação
"câmera imprevisto R$ 50,20",Outros
remédio mensal,Saúde
MATERIAL DE ALURA R$ 10,Educação
remedio da crossfit 60.40,Saúde
"Zara na H&M R$99,30",Vestuário
comprei cerveja,Alimentação
Dividi conta do snack,Alimentação
roupa de banho nova 1200,Vestuário
estacionamento pra casa R$ 800,Transporte
PLANO ANUAL NORTON 400 REAIS,Assinaturas
Despesa com infração r$ 1000,Outros
"MOTOTÁXI R$110,20",Transporte
estacionamento,Transporte
"Conta do quentinha r$ 15,90",Alimentação
cobrou netflix,Assinaturas
comprei universidade,Educação
paguei a psiquiatra r$ 90,Saúde
"MOCHILA R$ 32,60",Educação
comprei coturnos,Vestuário
comprei máquina de lavar,Casa
ALMOCEI NO PADARIA 150,Alimentação
comprei mensalidade escolar,Educação
FUI AO SHOW DE MÚSICA,Lazer
compras de roupa,Vestuário
"trem de volta R$ 99,40",Transporte
paguei seguro da casa,Casa
tarifa,Outros
rancho,Alimentação
pet imprevisto R$ 900,Outros
despesa com honorario,Outros
paguei anuidade,Outros
MANUTENÇÃO DA ELETRICISTA,Casa
infração,Outros
comprei boné,Vestuário
COMPREI VIAGEM,Lazer
comprei macacao,Vestuário
"detergente mensal R$ 69,20",Casa
"PASSEIO R$ 12,70",Lazer
"paguei Samsung 22,75",Outros
"certificação 40,00",Educação
Assinatura do illustrator 2000 reais,Assinaturas
Under Armour na Zara,Vestuário
comprei psiquiatra,Saúde
consulta com terapeuta,Saúde
workshop R$50,Educação
"renovação Office 365 R$ 30,40",Assinaturas
peguei scooter,Transporte
comprei telefone fixo,Casa
paguei a hospital 800,Saúde
delivery boteco 300 reais,Alimentação
Despesa com honorário 150,Outros
JANTEI FORA 24.60,Alimentação
"passeio R$14,50",Lazer
torta pra hoje,Alimentação
YOUTUBE PREMIUM,Assinaturas
PAGUEI CURSO PRESENCIAL,Educação
IMPOSTO PREDIAL,Casa
paguei a consulta médica,Saúde
"PASSEIO 80,60",Lazer
hospedagem 50.25,Lazer
mensalidade emergência r$ 150,Saúde
Emprestei dinheiro para aniversário 40.99,Outros
almocei no mercado,Alimentação
ALMOCEI NO SHOPPING,Alimentação
comprei móveis,Casa
conta do iogurte,Alimentação
renovação Office 365 R$120,Assinaturas
estacionei,Transporte
"lanche da tarde 75,75",Alimentação
SUTIÃ,Vestuário
"cerveja no food truck R$ 69,30",Alimentação
"ingresso do sessão de cinema 119,10",Lazer
"plano anual Amazon R$ 75,90",Assinaturas
conserto,Casa
assinei régua,Educação
comprei carregador 400,Outros
"Manutenção 89,50",Casa
VIAGEM PARA OUTRO ESTADO R$90,Lazer
assinatura do OneDrive,Assinaturas
"matrícula R$110,70",Educação
cobrou ExpressVPN 15.80,Assinaturas
lanche da tarde r$ 100,Alimentação
PASSEIO,Lazer
"evento com amigos R$ 20,30",Lazer
"assinatura Paramount+ R$129,70",Assinaturas
gasolina 25 reais,Transporte
pedi queijo no delivery 49.50,Alimentação
"paguei régua R$12,25",Educação
troca de oleo 85.70,Transporte
viagem para interior,Lazer
"gasolina pro trabalho R$ 19,30",Transporte
Peça de teatro com a família 20.70,Lazer
"exame no laboratório R$ 80,50",Saúde
ESTACIONEI 800,Transporte
fim de semana R$ 200,Lazer
mensalidade exame,Educação
Loja de roupa r$ 120,Vestuário
manutenção,Casa
"curso de cursinho pré-vestibular R$ 250,00",Educação
comprei roupa de banho,Vestuário
borracheiro de volta,Transporte
supermercado pra hoje,Alimentação
"Café da manhã r$70,80",Alimentação
renovação McAfee,Assinaturas
mensalidade da workshop,Educação
almocei no bar,Alimentação
"seguro residencial do mês 69,30",Casa
pastel no mall R$90,Alimentação
comprei análises clínicas,Saúde
"conta de conta de água R$ 139,70",Casa
"PLANO SPOTIFY R$ 20,75",Assinaturas
"smartphone do mês R$ 95,30",Outros
"boleto de sabao R$20,50",Casa
estacionamento,Transporte
cobrou Apple Music 700,Assinaturas
mensalidade Shein,Assinaturas
"par de Renner 95,90",Vestuário
feira do mes 50,Alimentação
"gasolina R$149,75",Transporte
Comprei x-burguer,Alimentação
metro de volta,Transporte
Antivírus,Assinaturas
renovação YouTube Music,Assinaturas
Cabo para natal,Outros
almocei no supermercado,Alimentação
"Almocei no mall r$ 35,30",Alimentação
"Anuidade xbox game pass 3000,00",Assinaturas
assinei filme,Lazer
lanche da tarde 3000 reais,Alimentação
"hospedagem 250,00",Lazer
mensalidade creme,Saúde
material de workshop R$12,Educação
par de polo,Vestuário
mensalidade Figma,Assinaturas
comprei musical,Lazer
renovei canva pro 42.50,Assinaturas
mercado pra hoje,Alimentação
"Loja de roupa r$30,50",Vestuário
óculos da semana,Saúde
"Boliche com amigos 65,75",Lazer
boleto de mesa 140.40,Casa
"SUPERMERCADO R$22,99",Alimentação
paguei cursinho pré-vestibular,Educação
"CONSULTA COM UPA R$ 90,10",Saúde
Manutenção do carro pra casa,Transporte
"entretenimento 20,00",Lazer
licenciamento,Transporte
compras da semana R$ 5,Alimentação
fui na UPA,Saúde
"consulta mensal R$30,80",Saúde
tarifa para natal,Outros
"feira do mês 149,30",Alimentação
exame no laboratório 30.50,Saúde
dividi conta do queijo,Alimentação
consulta com medicamento 30.75,Saúde
cobrou Amazon Prime Video 25.40,Assinaturas
plano PlayStation Plus,Assinaturas
comprei Sky,Casa
"99 pra casa 69,80",Transporte
comprei under armour,Vestuário
"Almocei no lanchonete 49,50",Alimentação
entretenimento,Lazer
certificação 59.99,Educação
fui na psicólogo,Saúde
comprei certificado,Educação
coturnos novo,Vestuário
internet,Assinaturas
FUI AO FOTOGRAFIA,Lazer
"BOLETO DE CONTA DE LUZ 99,70",Casa
"reforma 149,25",Casa
"x-salada 20,00",Alimentação
entretenimento 10 reais,Lazer
diesel pra casa R$ 25,Transporte
"corrida de carona R$ 49,50",Transporte
"gás de cozinha para a casa R$ 800,00",Casa
Outback,Alimentação
"Gasto com empréstimo r$5,60",Outros
"loja de roupa R$ 200,00",Vestuário
"cobrou Netflix 17,30",Assinaturas
curso de concurso público,Educação
"combustível R$99,70",Transporte
"workshop r$ 12,50",Educação
gás,Casa
iPhone para casamento,Outros
NET para a casa 15,Casa
conserto,Outros
gasolina,Transporte
lente de contato da semana 12.75,Saúde
Forever 21 na loja 49.20,Vestuário
"COMPREI ROUPA DE TRABALHO R$50,60",Vestuário
"Conta de claro tv r$22,20",Casa
mensalidade exame de sangue,Saúde
fui na mensalidade academia,Saúde
VITAMINA,Saúde
Matrícula,Educação
DELIVERY COMIDA POR QUILO 9.99,Alimentação
paguei material para curso,Educação
"COMPREI GÁS R$ 15,75",Casa
"anuidade Vivo R$ 50,50",Assinaturas
"corrida 130,99",Transporte
comprei consulta 89.80,Saúde
workshop,Educação
Comprei meia 49.20,Vestuário
matrícula no curso R$400,Educação
reforma R$2500,Casa
Hotel,Lazer
"manutenção da NET R$100,75",Casa
Claro TV do mês,Casa
fui na dentista,Saúde
"manutenção R$45,40",Casa
comprei suplemento R$ 700,Saúde
matricula no curso 55.70,Educação
roupas,Vestuário
Remédio da análises clínicas 20.70,Saúde
plano anual photoshop,Assinaturas
pedágio,Transporte
telefone fixo mensal,Casa
uniforme,Vestuário
"ingresso do Netflix R$35,70",Lazer
revista,Lazer
mochila,Vestuário
"fui ao karaokê R$ 75,90",Lazer
"Conta do iogurte r$42,70",Alimentação
google drive,Assinaturas
comprei mensalidade escolar 60 reais,Educação
fui ao turismo,Lazer
PAGUEI CLARO TV,Casa
Estacionei r$180,Transporte
boné,Vestuário
coturnos na outlet 99.30,Vestuário
renovaçao Epic Games,Assinaturas
PlayStation Plus 12.90,Assinaturas
almocei no praça de alimentaçao,Alimentação
"LANCHE DA TARDE 35,80",Alimentação
TV a cabo do mês,Casa
DRINQUE,Alimentação
"COMPRAS DE ROUPA R$80,50",Vestuário
material de construçao 149.50,Casa
condomínio do mês R$120,Casa
assinatura do Headspace,Assinaturas
comprei revista,Lazer
assinei especializaçao,Educação
anuidade Norton,Assinaturas
"ROUPA DE TRABALHO NOVO R$45,20",Vestuário
par de bermuda 40 reais,Vestuário
"Mensalidade faculdade particular r$12,10",Educação
"reforma R$ 110,10",Casa
paguei curso,Educação
"pulseira na loja R$ 75,90",Vestuário
Peguei bicicleta,Transporte
Conserto do veterinário 45,Outros
ZOOLÓGICO,Lazer
"entretenimento R$12,75",Lazer
"comprei upa r$ 500,00",Saúde
borracheiro pro trabalho,Transporte
"FUI AO REVISTA 50,00",Lazer
"Lanche da tarde 19,60",Alimentação
CRC,Educação
plano Canva Pro,Assinaturas
"DIVERSÃO 60,70",Lazer
entretenimento,Lazer
aula de Coursera R$40,Educação
mercado,Alimentação
TELECINE,Assinaturas
assinei Apple Music,Lazer
Entretenimento,Lazer
"EXPOSIÇÃO R$99,20",Lazer
"calcinha nova R$ 65,30",Vestuário
Claro,Assinaturas
comprei ENEM,Educação
"gasto com carregador R$119,90",Outros
rancho,Alimentação
anuidade cartão imprevisto 3000,Outros
"vitamina R$19,10",Saúde
gasto com câmera R$900,Outros
rancho,Alimentação
gasto com tablet R$30,Outros
matrícula R$ 5,Educação
café da manhã 39.60,Alimentação
remedio da emergencia,Saúde
assinei curso presencial,Educação
comprei C&A,Vestuário
Assinatura do icloud,Assinaturas
comprei concurso público,Educação
Fui ao airbnb,Lazer
peguei táxi,Transporte
plano anual Claro,Assinaturas
"comprei caridade 120,50",Outros
fui ao jogo,Lazer
rancho,Alimentação
fui na antibiótico,Saúde
comprei pochete na loja,Vestuário
"coturnos na h&m r$85,20",Vestuário
"Comprei biquíni r$10,30",Vestuário
"hotel R$79,20",Lazer
comprei mensalidade escolar R$ 2500,Educação
"comprei relogio na H&M 8,75",Vestuário
comprei casaco 20.40,Vestuário
Passagem pro trabalho,Transporte
"Netflix com amigos R$ 55,70",Lazer
"conta de jardineiro 17,10",Casa
plano HBO Max R$90,Assinaturas
Gasto com presente de aniversário r$1200,Outros
plano mensal VPN 85.10,Assinaturas
imposto 18,Outros
"paguei certificado 65,70",Educação
"REMÉDIO DA SUPLEMENTO 17,75",Saúde
voo pra casa,Transporte
"comprei Puma 139,75",Vestuário
"convênio mensal 5,90",Saúde
Diversão 149.20,Lazer
certificaçao,Educação
manutenção 1500,Casa
material de construção,Casa
"taxa de condomínio para a casa R$ 30,00",Casa
pedagio pro trabalho,Transporte
anuidade,Outros
"mensalidade da exame de sangue r$80,10",Saúde
Disney+ 50.50,Assinaturas
plano mensal xbox game pass r$500,Assinaturas
"ingresso do pousada R$20,25",Lazer
arroz pra hoje,Alimentação
consulta com consulta dentista,Saúde
"comprei sapato 22,20",Vestuário
paguei pet,Outros
DIO 69.25,Educação
"remédio da psicólogo r$ 14,70",Saúde
"comprei farmácia R$ 25,25",Saúde
"pedágio 22,90",Transporte
Uber pool de volta,Transporte
Comprei sunga,Vestuário
aula de mochila,Educação
Pedi supermercado no delivery,Alimentação
IPVA pro trabalho,Transporte
CONSULTA COM VITAMINA,Saúde
Hospedagem,Lazer
cartão transporte pro trabalho,Transporte
passagem de ônibus interestadual 80.40,Transporte
plano banda larga 79.70,Assinaturas
Curso de professor particular,Educação
"Loja de roupa r$10,50",Vestuário
par de pulseira,Vestuário
COMPREI LINGERIE R$1500,Vestuário
Plano mensal mubi,Assinaturas
fui na quiropraxia,Saúde
CAFÉ DA MANHÃ,Alimentação
"aula de Wizard R$ 22,25",Educação
roupas 12 reais,Vestuário
"comprei francês R$10,60",Educação
comprei arroz,Alimentação
"mensalidade Netflix 30,90",Assinaturas
consulta médica 800 reais,Saúde
comprei Adidas,Vestuário
"passagem de 99 R$39,99",Transporte
chopp no restaurante,Alimentação
"compras de roupa R$12,30",Vestuário
"escape room com a familia R$ 17,30",Lazer
"Comprei salto r$ 79,20",Vestuário
Feira do mês,Alimentação
comprei faxineira,Casa
"anuidade PlayStation Plus R$ 60,50",Assinaturas
"ônibus interestadual da semana R$ 45,20",Transporte
revisão do carro,Transporte
Material de construção,Casa
"delivery brigadeiro 100,00",Alimentação
"SAÍDA 30,10",Lazer
ônibus interestadual pro trabalho,Transporte
comprei manutenção,Outros
roupas 150.40,Vestuário
"assinatura do Apple Music R$ 1200,00",Assinaturas
Peguei estacionei,Transporte
comprei academia,Saúde
consulta com creme,Saúde
"conserto do imposto de renda 18,00",Outros
"Revisão do carro 40,50",Transporte
revista,Lazer
despesa com papelaria,Outros
"despesa com advogado r$ 10,60",Outros
IPTU para formatura,Outros
consulta com whey,Saúde
ônibus interestadual pro trabalho,Transporte
"mensalidade da pomada R$ 85,40",Saúde
exame no laboratório R$ 600,Saúde
renovação paramount+,Assinaturas
paintball R$ 800,Lazer
Comprei papel higiênico,Casa
lenço novo,Vestuário
mensalidade da whey R$80,Saúde
Conserto,Casa
SUPERMERCADO 20.70,Alimentação
fui ao museu,Lazer
peguei 99,Transporte
"Patinete pro trabalho r$ 27,80",Transporte
entretenimento,Lazer
RANCHO R$700,Alimentação
"MANUTENÇÃO DA PLANTAS R$ 150,20",Casa
Mensalidade colégio 75.75,Educação
"assinatura plano de internet 139,60",Assinaturas
abastecimento pro trabalho,Transporte
peguei combustível 35.10,Transporte
pedágio,Transporte
"COMPREI REMÉDIO PET R$ 129,60",Outros
paguei livro didático,Educação
assinei e-book,Lazer
supermercado 39.50,Alimentação
boleto do pedreiro,Casa
plano anual NordVPN 120.25,Assinaturas
"HOSPEDAGEM 47,60",Lazer
plano vpn 80,Assinaturas
ROUPA DE ACADEMIA 700,Vestuário
ressonância da semana,Saúde
"material de construção R$90,20",Casa
"workshop R$ 27,20",Educação
saia na Zara,Vestuário
"CLUBE COM A FAMÍLIA 17,60",Lazer
PAGUEI A ESPARADRAPO,Saúde
"comprei calça na H&M R$ 75,99",Vestuário
Loja de roupa 130.99,Vestuário
móveis,Casa
"Cobrou netflix 9,10",Assinaturas
IMPOSTO PARA CHÁ DE BEBÊ,Outros
"mensalidade da faculdade 5,99",Educação
Carregador 60.50,Outros
passagem de rodovia R$ 200,Transporte
"supermercado r$ 42,99",Alimentação
"plano mensal Dropbox R$150,80",Assinaturas
estacionei 9.90,Transporte
DESPESA COM MULTA 32.90,Outros
"renovei Notion R$14,30",Assinaturas
boleto de sky,Casa
mochila na C&A,Vestuário
"despesa com saque r$35,25",Outros
multa de trânsito para chá de bebê,Outros
ASSINATURA ICLOUD,Assinaturas
"pedi suco no delivery R$ 110,80",Alimentação
roupas 99.70,Vestuário
"imposto para aniversário r$ 14,70",Outros
Japonês no mall,Alimentação
paguei seguro da casa 89.90,Casa
"serviço 120,75",Outros
Paguei a raio-x,Saúde
comprei bota,Vestuário
evento profissional,Educação
"jantei fora R$ 150,70",Alimentação
peguei Unidas,Transporte
"abasteci o carro 5,60",Transporte
Under armour,Vestuário
conveniência no food truck,Alimentação
"gasolina 24,40",Transporte
abasteci o carro,Transporte
"INGRESSO DO HBO MAX R$ 39,50",Lazer
"Ingresso do cachoeira r$ 37,25",Lazer
"Disney+ 900,00",Assinaturas
"Mensalidade óculos r$69,25",Saúde
Saia nova 89.25,Vestuário
"presente pra casamento R$ 55,40",Outros
"LOJA DE ROUPA 200,00",Vestuário
dividi conta do brigadeiro,Alimentação
mochila na Zara,Vestuário
sobretudo,Vestuário
Assinei escola,Educação
material escolar 200,Educação
"comprei tênis R$ 59,75",Vestuário
"hospedagem r$14,75",Lazer
INGRESSO PRO JOGO,Lazer
paguei material de escritório,Outros
"COMPREI EXAME R$40,80",Educação
GASOLINA,Transporte
mensalidade especialização 25.40,Educação
Comprei infração r$800,Outros
"workshop R$40,99",Educação
conserto do transferência 10.80,Outros
assinatura do Figma,Assinaturas
"praia R$ 40,60",Lazer
COBROU ANTIVÍRUS,Assinaturas
abasteci o carro,Transporte
kaspersky,Assinaturas
"material de construçao R$ 300,00",Casa
par de chinelo,Vestuário
"mercado R$ 50,50",Alimentação
DESPESA COM MULTA DE TRÂNSITO 15.40,Outros
mensalidade da psicólogo 70.20,Saúde
"comprei creme r$17,10",Saúde
"plano anual Claro R$ 1000,00",Assinaturas
despesa com multa R$ 1000,Outros
COMPREI PEDREIRO 800,Casa
Reforma,Casa
roupas,Vestuário
computador do mês R$ 120,Outros
"SAÍDA 15,25",Lazer
Brinco na h&m,Vestuário
Comprei youtube premium,Lazer
fim de semana,Lazer
Reforma 22.20,Casa
entretenimento R$ 45,Lazer
HAMBÚRGUER PRA HOJE,Alimentação
"manutenção 1500,00",Casa
"plano mensal PlayStation Plus R$ 39,70",Assinaturas
mensalidade internet,Assinaturas
COMPREI ELETRODOMÉSTICO,Casa
certificação,Educação
matrícula,Educação
renovaçao Kaspersky,Assinaturas
ASSINEI PAINTBALL 130.40,Lazer
Azul,Transporte
comprei laboratório,Saúde
assinei campo R$ 15,Lazer
"Compras da semana 47,70",Alimentação
anuidade plano móvel,Assinaturas
Paguei samsung,Outros
"Hospedagem r$ 5,99",Lazer
"lanche da tarde R$ 24,20",Alimentação
workshop,Educação
ESTACIONAMENTO R$900,Transporte
renovei Office 365 2500,Assinaturas
"matrícula R$ 95,99",Educação
paguei iPhone,Outros
ENEM,Educação
"comprei polo 15,50",Vestuário
conserto,Casa
"Plano de saúde da semana r$ 139,25",Saúde
frances,Educação
"abasteci o carro 85,60",Transporte
paguei imposto de renda,Outros
JARDINAGEM MENSAL,Casa
"troca de óleo r$ 600,00",Transporte
"motofrete de volta R$ 300,00",Transporte
"Boleto de eletrodoméstico 119,70",Casa
abasteci o carro R$15,Transporte
comprei sandália,Vestuário
Multa do mês 50,Outros
"hospedagem R$ 95,25",Lazer
esparadrapo,Saúde
par de Under Armour,Vestuário
renovaçao clube de assinatura,Assinaturas
passeio,Lazer
"plano móvel 25,25",Assinaturas
cobrou claro,Assinaturas
"Mototáxi de volta 50,80",Transporte
CONSERTO,Casa
PLANO MENSAL NORDVPN 350 REAIS,Assinaturas
COMPREI TELEFONE FIXO,Casa
viagem para outro estado R$ 600,Lazer
"certificação R$ 69,40",Educação
COMPREI VIDEOGAME,Lazer
"roupas 69,20",Vestuário
boleto do internet,Casa
supermercado,Alimentação
PEGUEI RODOVIA,Transporte
"comprei convênio 5,00",Saúde
Upa,Saúde
mototáxi de volta,Transporte
despesa com registro,Outros
Show,Lazer
"mensalidade da extração R$ 15,40",Saúde
"plano mensal Amazon R$ 12,99",Assinaturas
"comprei tinta R$ 30,30",Casa
Jantei fora 10.20,Alimentação
Manutenção 700,Casa
saída R$20,Lazer
Nordvpn,Assinaturas
"mensalidade Oi 100,90",Assinaturas
dividi conta do legume,Alimentação
comprei faxineira,Casa
"plano mensal Amazon R$150,60",Assinaturas
"assinatura clube de assinatura 59,90",Assinaturas
PARQUE DE DIVERSÕES,Lazer
exame no laboratório,Saúde
"Comprei verdura r$130,75",Alimentação
comprei sapato,Vestuário
REFORMA,Casa
loja de roupa,Vestuário
SAMSUNG,Outros
"lanche da tarde R$ 49,60",Alimentação
exame no laboratório,Saúde
limpeza do mes,Casa
troca de óleo,Transporte
MENSALIDADE PARAMOUNT+,Assinaturas
COMPREI CALÇA R$ 100,Vestuário
"reforma R$49,90",Casa
"cobrou YouTube Premium 47,10",Assinaturas
"cama do mes 130,50",Casa
mensalidade faculdade particular 129.20,Educação
"mensalidade da curativo R$ 95,60",Saúde
"paguei papelaria R$17,40",Outros
"matrícula no curso r$ 40,30",Educação
Delivery suco 140.70,Alimentação
paguei webinar,Educação
meia nova,Vestuário
Claro tv 70.99,Casa
compras de roupa 24.70,Vestuário
COMPREI BOLICHE,Lazer
"material de Udemy R$ 20,00",Educação
açougue no mall,Alimentação
Paguei a musculação,Saúde
comprei doutorado,Educação
"comprei luminária R$50,10",Casa
COMPREI EMPRESTEI DINHEIRO,Outros
"Gym mensal r$ 149,50",Saúde
colar novo,Vestuário
viagem para litoral R$ 30,Lazer
gasto com conserto,Outros
"ASSINATURA DO HBO MAX R$ 60,30",Assinaturas
supermercado,Alimentação
rancho 70.50,Alimentação
gibi com a familia,Lazer
SAÍDA R$45,Lazer
ingresso do viagem 120.80,Lazer
boleto do micro-ondas,Casa
troca de óleo R$30,Transporte
"compras do mês R$ 149,80",Alimentação
"entretenimento 35,90",Lazer
Mensalidade paramount+ 30,Assinaturas
patinete pra casa R$ 45,Transporte
PAR DE SAPATO 35.40,Vestuário
almocei no praça de alimentação,Alimentação
jantei fora 35 reais,Alimentação
mensalidade exame 150,Saúde
feira do mês 55.90,Alimentação
viagem para outro estado,Lazer
MEIA NOVA,Vestuário
paguei saque,Outros
"mensalidade terapeuta r$ 180,00",Saúde
Conta de diarista,Casa
assinatura do Spotify,Assinaturas
FUI AO EVENTO 150,Lazer
"passagem de moto R$22,30",Transporte
"fim de semana R$ 70,00",Lazer
"renovei Calm R$35,10",Assinaturas
desinfetante para a casa 55.99,Casa
ASSINEI UDEMY,Educação
Comprei mensalidade plano,Saúde
Gasolina,Transporte
